N,pi_hat_register,t_param,abs_error_vs_chudnovsky,digits_correct
6,2.9999999999999999999999999999999999999999999760161110648133272403277092786064457280196488491305291535315861548459275972750123385547784123047,0.57735026918962576450914878050195745564760174511585810582121905615106366894368689869119565181760064310513558272219825084903277456760406494141,0.14159265358979323846264338327950288419716942335899475616161735198010712767976327060838597621158791445056193166735470937208150605477216992702,0
8,3.0614674589207181738276798722431909340907565590494982144400771227150573155025819363385999449627497928835155744585091826025090743638535579179,0.41421356237309504880168872420969807856967188475526793433318786554693367388912220467375365705874388995476678698715033988264622166752815246582,0.080125194669075064634963511036311950106412840325607606534867469592759090783627062289434880379367275098632512054773124044584770245697024313826,1
12,3.1058285412302491481867860514885799401888268503086005396601957379875169410151422825831414980082893850597906972817561576508784427831683844689,0.26794919243112270647255365849412763305719474937690934551819286377319659389544094118749093740832990177391098596260121667000930756330490112305,0.035764112359544090275857331790922944008342549066505281314748854320299465271066716044893327333827682922357389231526148996215401826382197762837,1
16,3.1214451522580522855725578956323558548430658654398000113180043618572420902250834840578945858401150271026455120718396005750712234142244647226,0.19891236737965800691159762264467622859785050008998414545155726067694979601413054294264984005020489114530339580522166897935676388442516326904,0.020147501331740952890085487647147029354103533935305809656940230450574316061125514570140239502002040879502574441442706072022621195326117509181,1
24,3.1326286132812381971617494694917362446497770196461479199094246101244716591486942937546001211338446955552337661607885638352473415339011900047,0.13165249758739585347152645740971710359281410667675443871198395354274283944617689075144399971724677272629303037554393540631281211972236633301,0.0089640403085550413008939137877666395473923797289579010655199821833447471375147048734347042082723724269143203524937428118465030756493922270173,2
32,3.1365484905459392638142580444365390675563735114913294597296923852555105824056226045527087642179981183964509431719336233097681240293238175895,0.098491403357164253077197521291327432293052449752191591298700245690373513933843173151660689914101484490074021882488608525818563066422939300537,0.0050441630438539746483853388429638166407958878837763612452522070523058238805863940753260611241189495856971433413486833373257205802267646422747,2
48,3.1393502030468672071351468212084211891503506401293375982279628223092340445577350828611419868187831170924747171748869637483294352248847124932,0.065543462815238228564543724879942794922194992467443379502249574221407362693541719868991479306728133738752309356279113217169651761651039123534,0.0022424505429260313274965620710816950468187592457682227469817699985823617284739157668928385233339508896733693383953428987644093846658697385104,2
64,3.1403311569547529123171185243316901321437031518962950319008020166094879334370321706617944717188420012850336191616815078765146463684983483683,0.049126849769467254105343321271313617079695750270394277515687877676960103065333041461746711771728849195200929805826817187153210397809743881226,0.0012614966350403261455248589478127520534662474788107890741425756983284728491768279662403536232750666971144673516007987705791982410522338633899,2
96,3.1410319508905096381113529264596601070364122119456236921194476204635019557011514692945588338136850804912063525840925467094660885857401593392,0.032736610412972586439258948893459623656260094659241351066439819417813891201856878098815453303296424021075726462637334179817116819322109222412,0.00056070269928360035129045681984277716075718742948212885549697184431445058505752933347599152843198749094173392918975993762775602381042289255855,3
128,3.1412772509327728680620197707882144083796632959128760281515476799337186221313947049872529806534387669389126074625644692099567753619735025693,0.024548622108925444104579753960908721192461198977042697143997042968590903495852093946019641656524748907236164671696876382611662847921252250671,0.00031540265702037040062361249128847581750610346222979282339691237409778415481429364078184468867830104323547905071783743713706924757707966248318,3
256,3.141513801144301076328515059456822307935313805588362047709277698882033612430323298306455287061837972828027610721368587987731447746167864385,0.012272462379566275230887553234270796445267702243424920694083492994485454513954612354647271678980114504808559584836391564977020607329905033112,0.00007885244549216213412832382268057626185559378674377326566689342578279385588570032157953828027909515412047579191371865936239686338271784674699,4
512,3.1415729403670913841358001102707614295336377448271726849621288749794940510534069568110434496679220645740092167166266597301751636389413954791,0.0061360001576234019642943656013108352912053925220808984449526108721399922346730489265133133476182797270712739219622466890768919256515800952911,0.000019713222701854326843273008741454663531654547933136012815717328322355232802041816991375674195003408138869796655646916918680970609186752601127,4
1024,3.1415877252771597006288542627019187393992808024753798154934106367047244840668580483567780443927423374173395086547621259015601360472130589369,0.0030679712014226649870739156821217382927658919941429111918905549189673861139761336310187086806731027075805992836848856697429255291353911161423,0.0000049283126335378337891205775841447978885968997260054815339556030919222193509502712567809493747305648085778585201807455337085623375232948424286,5
