Z,Symbol,N,A,N/Z,Stability,Coherence,Magic_Z,Magic_N
1,H,1,2,1.0,0.9852216748768474,0.899,False,False
2,He,2,4,1.0,1.0,0.898,True,True
3,Li,3,6,1.0,0.9569377990430623,0.897,False,False
4,Be,4,8,1.0,0.9433962264150942,0.896,False,False
5,B,5,10,1.0,0.930232558139535,0.895,False,False
6,C,6,12,1.0,0.9174311926605504,0.894,False,False
7,N,7,14,1.0,0.9049773755656109,0.893,False,False
8,O,8,16,1.0,1.0,0.892,True,True
9,F,9,18,1.0,0.8810572687224669,0.891,False,False
10,Ne,10,20,1.0,0.8695652173913044,0.89,False,False
11,Na,11,22,1.0,0.8583690987124464,0.889,False,False
12,Mg,12,24,1.0,0.8474576271186441,0.888,False,False
13,Al,13,26,1.0,0.8368200836820083,0.887,False,False
14,Si,14,28,1.0,0.8264462809917356,0.886,False,False
15,P,15,30,1.0,0.8163265306122448,0.885,False,False
16,S,16,32,1.0,0.8064516129032258,0.884,False,False
17,Cl,17,34,1.0,0.7968127490039841,0.883,False,False
18,Ar,18,36,1.0,0.7874015748031495,0.882,False,False
19,K,19,38,1.0,0.7782101167315175,0.881,False,False
20,Ca,20,40,1.0,0.9692307692307691,0.88,True,True
21,Sc,24,45,1.1428571428571428,0.8690928843020098,0.8775000000000001,False,False
22,Ti,25,47,1.1363636363636365,0.8544087491455913,0.8765000000000001,False,False
23,V,26,49,1.1304347826086956,0.8404719573298852,0.8755000000000001,False,False
24,Cr,28,52,1.1666666666666667,0.9578431372549021,0.874,False,True
25,Mn,29,54,1.16,0.8436363636363635,0.873,False,False
26,Fe,30,56,1.1538461538461537,0.8301051466519092,0.872,False,False
27,Co,31,58,1.1481481481481481,0.8171872940556214,0.871,False,False
28,Ni,32,60,1.1428571428571428,0.9048289738430583,0.87,True,False
29,Cu,33,62,1.1379310344827587,0.792983299291121,0.869,False,False
30,Zn,34,64,1.1333333333333333,0.7816091954022989,0.868,False,False
31,Ga,39,70,1.2580645161290323,0.8587471099856876,0.865,False,False
32,Ge,40,72,1.25,0.8445945945945946,0.864,False,False
33,As,41,74,1.2424242424242424,0.8310530049660484,0.863,False,False
34,Se,42,76,1.2352941176470589,0.8180755746007012,0.862,False,False
35,Br,44,79,1.2571428571428571,0.8243559718969555,0.8605,False,False
36,Kr,45,81,1.25,0.8116883116883117,0.8595,False,False
37,Rb,46,83,1.2432432432432432,0.7995133397062657,0.8585,False,False
38,Sr,48,86,1.263157894736842,0.8045591686221925,0.857,False,False
39,Y,49,88,1.2564102564102564,0.7926878589339157,0.856,False,False
40,Zr,50,90,1.25,0.88125,0.855,False,True
41,Nb,51,92,1.2439024390243902,0.7702182284980744,0.854,False,False
42,Mo,52,94,1.2380952380952381,0.759567630733275,0.853,False,False
43,Tc,54,97,1.255813953488372,0.763412737682901,0.8515,False,False
44,Ru,55,99,1.25,0.7530120481927711,0.8505,False,False
45,Rh,56,101,1.2444444444444445,0.7429519071310118,0.8495,False,False
46,Pd,58,104,1.2608695652173914,0.7460766658091074,0.848,False,False
47,Ag,59,106,1.2553191489361701,0.7362575653584575,0.847,False,False
48,Cd,60,108,1.25,0.7267441860465116,0.846,False,False
49,In,61,110,1.2448979591836735,0.7175204375698407,0.845,False,False
